date,open,high,low,close,volume,adj_close,returns,log_returns,volatility
2023-03-25,27454.46,27787.33,27156.09,27462.95,50844.08102,27462.95,0.0003088750210802349,0.00030882732901125104,0.029008778343494607
2023-03-26,27462.96,28194.4,27417.76,27968.05,49671.70353,27968.05,0.018392051837111456,0.01822496367160109,0.025477380570841854
2023-03-27,27968.05,28023.86,26508.14,27124.91,88039.46898,27124.91,-0.030146542215134797,-0.030610293346195108,0.02789077132876403
2023-03-28,27124.9,27520.0,26631.78,27261.07,78602.44341,27261.07,0.005019740157663266,0.005007183266062188,0.027188129205544198
2023-03-29,27261.06,28650.0,27240.1,28348.6,89486.16008,28348.6,0.03989315166279228,0.039117969089514086,0.028760985705443148
2023-03-30,28348.6,29184.68,27686.0,28028.53,98865.43256,28028.53,-0.011290504645732002,-0.011354726247076305,0.02538524651839447
2023-03-31,28028.53,28656.69,27511.71,28465.36,78198.12139,28465.36,0.015585191231934026,0.01546498944228887,0.02247406874672376
2023-04-01,28465.36,28819.71,28220.27,28452.73,30238.44753,28452.73,-0.00044369718141634706,-0.00044379564413691034,0.022504232014551685
2023-04-02,28452.74,28530.0,27856.43,28171.87,37365.65692,28171.87,-0.0098711090289052,-0.009920151427765776,0.022295577337695785
2023-04-03,28171.87,28500.99,27200.24,27800.0,79180.01405,27800.0,-0.013200046713263913,-0.01328794166506373,0.018993900817135125
2023-04-04,27800.0,28444.44,27662.79,28165.47,49722.55691,28165.47,0.013146402877697971,0.01306073888880465,0.01933541237536716
2023-04-05,28165.47,28775.0,27805.1,28170.01,60737.64732,28170.01,0.00016119028015504355,0.00016117729039769833,0.011619741758370584
2023-04-06,28170.01,28182.05,27711.0,28033.82,40118.94963,28033.82,-0.004834574073633635,-0.0048462984303144436,0.010885463550605561
2023-04-07,28033.83,28100.0,27766.94,27906.33,24762.09387,27906.33,-0.004547721288072681,-0.004558093631494347,0.008504549134625594
2023-04-08,27906.34,28154.99,27859.02,27938.38,19479.96735,27938.38,0.0011484849494720617,0.0011478259451552448,0.008598794544590777
2023-04-09,27938.38,28530.0,27800.0,28323.76,32531.16101,28323.76,0.013793927922807203,0.013699657615021985,0.009816249694433204
